   lxc-monitord 20180826050805.137 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/42371c684bfb6bf8//home/jbustamante35/.local/share/lxc".
   lxc-monitord 20180826050805.137 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 1777 is now monitoring lxcpath /home/jbustamante35/.local/share/lxc.
   lxc-monitord 20180826050805.176 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/jbustamante35/.local/share/lxc.
   lxc-monitord 20180826050805.180 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20180826050835.513 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20180826050835.513 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/42371c684bfb6bf8//home/jbustamante35/.local/share/lxc".
   lxc-monitord 20180826051538.312 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/42371c684bfb6bf8//home/jbustamante35/.local/share/lxc".
   lxc-monitord 20180826051538.327 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 2696 is now monitoring lxcpath /home/jbustamante35/.local/share/lxc.
   lxc-monitord 20180826051538.327 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20180826051609.109 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20180826051609.109 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/42371c684bfb6bf8//home/jbustamante35/.local/share/lxc".
